1569050252988096512,Yo they added Unagi to Rocket League https://t.co/LY2hSJSq1j,36,Yo they added Unagi to Rocket League https://t.co/LY2hSJSq1j
1569049657698918400,@zurajanai33 @PerEitan_22 Bruh but there are new cod every year i played Rocket League since 2016,97,@zurajanai33 @PerEitan_22 Bruh but there are new cod every year i played Rocket League since 2016
1569049276759642115,@Gamer_Sleeve Rocket league,27,@Gamer_Sleeve Rocket league
1569049223957561347,@KOI Rocket league,18,@KOI Rocket league
1569049181494419458,"@zurajanai33 @PerEitan_22 I dont take care of my PC at all, my steam hours are kinda crazy but then you go into the games and i have like only 8 days in game at rocket league. (Tho it dosent include training which will probably make it about 14-16 days",252,"@zurajanai33 @PerEitan_22 I dont take care of my PC at all, my steam hours are kinda crazy but then you go into the games and i have like only 8 days in game at rocket league. (Tho it dosent include training which will probably make it about 14-16 days"
1569048927407685632,"my friend @sherpa_rl put out a new rocket league moments video check it out https://t.co/fk5FGwJYEc he’s pretty good so it’ll be a good watch. if you like the video subscribe :)

#RocketLeague #freestyle #YouTuber #NewVideo #youtubechannel #carsoccer #psyonix #rocketleagueclips",278,"my friend @sherpa_rl put out a new rocket league moments video check it out https://t.co/fk5FGwJYEc he’s pretty good so it’ll be a good watch. if you like the video subscribe :)

#RocketLeague #freestyle #YouTuber #NewVideo #youtubechannel #carsoccer #psyonix #rocketleagueclips"
1569047976806424586,@zkeefer Wow Frank finally learned that it's not rocket science when you have the best RB in the league.,104,@zkeefer Wow Frank finally learned that it's not rocket science when you have the best RB in the league.
1569047862994178048,They added one of my fave songs to rocket league 😎,50,They added one of my fave songs to rocket league 😎
1569047813950177280,@Toddkage Rocket league!,24,@Toddkage Rocket league!
1569047781976981504,@KOI Rocket League,18,@KOI Rocket League
1569047731661832192,"@tass_agency Russia failed to find a response to just 20 long range HIMARS rocket systems, a 1980s US technology... “The US has 540 of them. Russia isn’t even in the same league.”

https://t.co/5hd97qTqjb

#NAFOfellas",217,"@tass_agency Russia failed to find a response to just 20 long range HIMARS rocket systems, a 1980s US technology... “The US has 540 of them. Russia isn’t even in the same league.”

https://t.co/5hd97qTqjb

#NAFOfellas"
1569047411711959041,"https://t.co/kN2lNtbRf7 if you like games like fortnite, rocket league and Minecraft go drop and follow and come chat when I’m live next!!! #fortnite #RocketLeague #minecraft #twitch #twitchstreamer",198,"https://t.co/kN2lNtbRf7 if you like games like fortnite, rocket league and Minecraft go drop and follow and come chat when I’m live next!!! #fortnite #RocketLeague #minecraft #twitch #twitchstreamer"
1569047138172080128,"You should join the UNF Esports Club discord server! You can meet a lot of people there with similar gaming interests! We have Overwatch, League of Legends, Rocket League, Minecraft, and more!!! Join today! :D

https://t.co/QZlT4DdvNs",234,"You should join the UNF Esports Club discord server! You can meet a lot of people there with similar gaming interests! We have Overwatch, League of Legends, Rocket League, Minecraft, and more!!! Join today! :D

https://t.co/QZlT4DdvNs"
1569047094144679936,"@TheTrut02744101 Russia failed to find a response to just 20 long range HIMARS rocket systems, a 1980s US technology that Ukrainian troops are using to destroy ammunition dumps and logistics systems deep behind Russian lines... “The US has 540 of them. Russia isn’t even in the same league.”",291,"@TheTrut02744101 Russia failed to find a response to just 20 long range HIMARS rocket systems, a 1980s US technology that Ukrainian troops are using to destroy ammunition dumps and logistics systems deep behind Russian lines... “The US has 540 of them. Russia isn’t even in the same league.”"
1569046880226611203,@BornAKang Rocket League getting a little wild.,47,@BornAKang Rocket League getting a little wild.
1568403596521385985,@drewwhitlock8 Good. Grind rocket league. You got this.,55,@drewwhitlock8 Good. Grind rocket league. You got this.
1568403477243768832,"Rocket League®
Singles Club (BRONZE)
#PlayStationTrophy #PS5Share, #RocketLeague https://t.co/OR6Zd6uXCr",80,"Rocket League®
Singles Club (BRONZE)
#PlayStationTrophy #PS5Share, #RocketLeague https://t.co/OR6Zd6uXCr"
1568403193796632578,@Kvpendergast This is what I got from Rocket league ball floating out into space https://t.co/JmLudtqqfM,80,@Kvpendergast This is what I got from Rocket league ball floating out into space https://t.co/JmLudtqqfM
1568403120178298882,"Xbox Series S – Fortnite &amp; Rocket League Bundle 
 Buy open box: $258.51

https://t.co/EgHJqxOcA6",100,"Xbox Series S – Fortnite &amp; Rocket League Bundle 
 Buy open box: $258.51

https://t.co/EgHJqxOcA6"
